loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type
15000.0,15000.0, 36 months,0.1295,505.04,B,B4,4 years,RENT,113026.08,Not Verified,Current,moving,CO,27.35,0,681,685,3,14,0,2270.91,27.6,24,Individual
10000.0,10000.0, 36 months,0.2448,394.84,F,F2,10+ years,RENT,68027.42,Verified,Fully Paid,debt_consolidation,CA,18.53,0,682,686,3,9,0,32857.07,55.7,15,Individual
20000.0,20000.0, 36 months,0.1374,681.08,D,D5,10+ years,MORTGAGE,64762.57,Not Verified,Fully Paid,debt_consolidation,PA,15.37,0,699,703,5,13,1,2452.07,81.3,20,Individual
15000.0,15000.0, 36 months,0.1157,495.12,C,C3,10+ years,OWN,151778.35,Source Verified,Fully Paid,other,WA,9.39,0,703,707,1,18,0,8427.6,67.8,36,Individual
10000.0,10000.0, 36 months,0.0902,318.11,B,B3,< 1 year,OWN,198930.7,Source Verified,Late (31-120 days),medical,MO,19.45,1,756,760,0,8,0,3026.01,77.7,18,Individual
15000.0,15000.0, 36 months,0.0801,470.12,B,B3,6 years,MORTGAGE,44515.59,Source Verified,Fully Paid,house,WA,7.77,0,640,644,0,6,0,15711.33,51.4,13,Individual
30000.0,30000.0, 60 months,0.0545,572.41,A,A1,3 years,RENT,45630.7,Verified,Current,debt_consolidation,NJ,23.98,1,714,718,0,12,0,25898.14,35.5,18,Individual
5000.0,5000.0, 60 months,0.2131,136.13,E,E1,10+ years,MORTGAGE,119769.57,Verified,Current,debt_consolidation,NC,19.68,0,731,735,1,18,0,12772.57,67.1,26,Individual
7500.0,7500.0, 36 months,0.1399,256.29,C,C3,3 years,MORTGAGE,13328.86,Not Verified,Current,car,VA,21.68,0,724,728,2,9,0,4269.98,61.9,18,Individual
25000.0,25000.0, 36 months,0.139,853.27,D,D4,8 years,OWN,12000.0,Source Verified,Fully Paid,debt_consolidation,MA,26.32,1,671,675,1,13,0,51137.75,0.0,26,Individual
7500.0,7500.0, 36 months,0.062,228.85,A,A4,10+ years,MORTGAGE,35115.16,Verified,Fully Paid,debt_consolidation,MN,22.8,0,706,710,0,7,0,788.08,66.8,12,Individual
5000.0,5000.0, 36 months,0.2506,198.95,F,F1,10+ years,MORTGAGE,66751.95,Source Verified,Charged Off,home_improvement,MN,28.24,0,703,707,1,8,0,23524.0,22.6,24,Individual
12000.0,12000.0, 36 months,0.194,442.3,E,E3,3 years,RENT,28604.47,Verified,Current,credit_card,CA,13.31,1,691,695,1,13,1,1304.38,61.3,25,Individual
15000.0,15000.0, 36 months,0.1035,486.51,B,B4,1 year,MORTGAGE,26259.35,Not Verified,Current,medical,IL,18.74,0,734,738,0,16,0,30600.8,22.2,26,Joint App
15000.0,15000.0, 36 months,0.0982,482.76,B,B1,2 years,MORTGAGE,41752.51,Source Verified,Current,home_improvement,VA,10.79,0,764,768,1,13,1,26023.27,29.5,28,Individual
15000.0,15000.0, 60 months,0.0933,313.76,B,B3,8 years,RENT,126442.63,Not Verified,Current,credit_card,TN,7.45,0,682,686,1,10,1,4981.47,43.8,15,Individual
30000.0,30000.0, 60 months,0.087,618.44,B,B2,< 1 year,RENT,44105.45,Source Verified,Charged Off,debt_consolidation,CA,13.43,0,704,708,0,10,0,7048.95,47.0,19,Individual
20000.0,20000.0, 60 months,0.1341,459.27,C,C3,2 years,OWN,108543.04,Not Verified,Current,wedding,NJ,17.49,0,655,659,2,16,0,3634.72,13.2,23,Individual
35000.0,35000.0, 36 months,0.1185,1160.07,C,C3,10+ years,RENT,59474.41,Source Verified,Fully Paid,debt_consolidation,AZ,22.84,1,695,699,1,17,0,4071.12,60.9,25,Individual
15000.0,15000.0, 60 months,0.074,299.86,B,B5,5 years,MORTGAGE,141585.91,Verified,Fully Paid,credit_card,TN,17.44,0,678,682,4,6,1,12513.34,40.1,17,Individual
5000.0,5000.0, 36 months,0.1303,168.55,C,C5,7 years,MORTGAGE,48425.1,Source Verified,Current,credit_card,NY,23.29,0,749,753,0,16,0,33270.71,40.5,29,Individual
30000.0,30000.0, 36 months,0.0514,901.03,A,A2,< 1 year,MORTGAGE,71923.8,Not Verified,Fully Paid,other,VA,34.55,0,750,754,0,16,0,19414.44,38.2,30,Individual
5000.0,5000.0, 60 months,0.0753,100.26,B,B2,8 years,RENT,64005.33,Verified,Current,home_improvement,OH,9.87,1,674,678,1,4,0,25055.41,55.5,19,Individual
20000.0,20000.0, 60 months,0.1019,426.86,B,B3,4 years,MORTGAGE,51600.74,Verified,Fully Paid,debt_consolidation,VA,22.44,0,691,695,0,11,0,50875.68,93.5,24,Individual
5000.0,5000.0, 60 months,0.1276,113.14,C,C4,7 years,MORTGAGE,90684.76,Verified,Late (31-120 days),credit_card,GA,11.12,0,675,679,0,5,0,16331.46,13.6,11,Individual
20000.0,20000.0, 36 months,0.157,700.19,D,D2,7 years,OWN,84873.38,Not Verified,Charged Off,small_business,MO,25.54,0,708,712,0,4,0,29009.69,34.0,24,Individual
30000.0,30000.0, 36 months,0.1034,972.86,B,B3,10+ years,MORTGAGE,64542.5,Verified,Charged Off,home_improvement,TX,23.6,1,724,728,0,10,0,4088.83,91.6,19,Individual
12000.0,12000.0, 36 months,0.1364,408.01,C,C1,3 years,MORTGAGE,17770.4,Verified,Fully Paid,house,IN,5.45,1,678,682,1,5,0,12636.08,59.5,14,Individual
10000.0,10000.0, 60 months,0.1336,229.38,C,C5,8 years,MORTGAGE,27763.24,Not Verified,Fully Paid,major_purchase,CO,13.48,0,682,686,2,11,0,8736.96,27.4,24,Individual
10000.0,10000.0, 36 months,0.0731,310.17,A,A4,5 years,OTHER,32237.73,Source Verified,Fully Paid,credit_card,TN,37.19,0,749,753,0,14,0,5149.39,90.2,27,Individual
15000.0,15000.0, 36 months,0.1059,488.19,C,C3,5 years,MORTGAGE,64747.53,Not Verified,Current,small_business,OH,6.68,0,693,697,0,4,3,4659.64,36.3,12,Individual
